1, Loc1, indisponibil, 40.0
1, Loc2, indisponibil, 50.0
1, Loc3, indisponibil, 40.0
1, Loc4, indisponibil, 20.0
1, Loc5, disponibil, 30.0
1, Loc6, disponibil, 20.0
1, Loc7, indisponibil, 10.0
1, Loc8, indisponibil, 20.0
1, Loc9, disponibil, 10.0
2, Loc1, indisponibil, 60.0
2, Loc2, disponibil, 70.0
2, Loc3, disponibil, 60.0
2, Loc4, indisponibil, 40.0
2, Loc5, indisponibil, 50.0
2, Loc6, indisponibil, 40.0
2, Loc7, disponibil, 30.0
2, Loc8, indisponibil, 40.0
2, Loc9, disponibil, 30.0
3, Loc1, indisponibil, 50.0
3, Loc2, indisponibil, 60.0
3, Loc3, indisponibil, 50.0
3, Loc4, indisponibil, 30.0
3, Loc5, indisponibil, 40.0
3, Loc6, disponibil, 30.0
3, Loc7, indisponibil, 20.0
3, Loc8, disponibil, 30.0
3, Loc9, indisponibil, 20.0
4, Loc1, disponibil, 45.0
4, Loc2, indisponibil, 55.0
4, Loc3, disponibil, 45.0
4, Loc4, disponibil, 25.0
4, Loc5, disponibil, 35.0
4, Loc6, indisponibil, 25.0
4, Loc7, disponibil, 15.0
4, Loc8, disponibil, 25.0
4, Loc9, disponibil, 15.0
5, Loc1, indisponibil, 65.0
5, Loc2, disponibil, 75.0
5, Loc3, disponibil, 65.0
5, Loc4, indisponibil, 45.0
5, Loc5, disponibil, 55.0
5, Loc6, disponibil, 45.0
5, Loc7, indisponibil, 35.0
5, Loc8, disponibil, 45.0
5, Loc9, disponibil, 35.0
6, Loc1, disponibil, 55.0
6, Loc2, indisponibil, 65.0
6, Loc3, indisponibil, 55.0
6, Loc4, disponibil, 35.0
6, Loc5, disponibil, 45.0
6, Loc6, disponibil, 35.0
6, Loc7, indisponibil, 25.0
6, Loc8, disponibil, 35.0
6, Loc9, disponibil, 25.0
7, Loc1, disponibil, 40.0
7, Loc2, disponibil, 50.0
7, Loc3, disponibil, 40.0
7, Loc4, indisponibil, 20.0
7, Loc5, disponibil, 30.0
7, Loc6, indisponibil, 20.0
7, Loc7, disponibil, 10.0
7, Loc8, disponibil, 20.0
7, Loc9, indisponibil, 10.0
8, Loc1, indisponibil, 60.0
8, Loc2, disponibil, 70.0
8, Loc3, disponibil, 60.0
8, Loc4, indisponibil, 40.0
8, Loc5, disponibil, 50.0
8, Loc6, disponibil, 40.0
8, Loc7, indisponibil, 30.0
8, Loc8, disponibil, 40.0
8, Loc9, indisponibil, 30.0
9, Loc1, indisponibil, 50.0
9, Loc2, disponibil, 60.0
9, Loc3, indisponibil, 50.0
9, Loc4, indisponibil, 30.0
9, Loc5, indisponibil, 40.0
9, Loc6, disponibil, 30.0
9, Loc7, disponibil, 20.0
9, Loc8, indisponibil, 30.0
9, Loc9, disponibil, 20.0
10, Loc1, indisponibil, 40.0
10, Loc2, disponibil, 50.0
10, Loc3, disponibil, 40.0
10, Loc4, disponibil, 20.0
10, Loc5, indisponibil, 30.0
10, Loc6, disponibil, 20.0
10, Loc7, disponibil, 10.0
10, Loc8, indisponibil, 20.0
10, Loc9, indisponibil, 10.0
11, Loc1, indisponibil, 60.0
11, Loc2, disponibil, 70.0
11, Loc3, disponibil, 60.0
11, Loc4, indisponibil, 40.0
11, Loc5, disponibil, 50.0
11, Loc6, disponibil, 40.0
11, Loc7, disponibil, 30.0
11, Loc8, indisponibil, 40.0
11, Loc9, disponibil, 30.0
12, Loc1, disponibil, 50.0
12, Loc2, indisponibil, 60.0
12, Loc3, indisponibil, 50.0
12, Loc4, indisponibil, 30.0
12, Loc5, disponibil, 40.0
12, Loc6, disponibil, 30.0
12, Loc7, disponibil, 20.0
12, Loc8, indisponibil, 30.0
12, Loc9, disponibil, 20.0
13, Loc1, disponibil, 45.0
13, Loc2, disponibil, 55.0
13, Loc3, disponibil, 45.0
13, Loc4, disponibil, 25.0
13, Loc5, disponibil, 35.0
13, Loc6, disponibil, 25.0
13, Loc7, disponibil, 15.0
13, Loc8, indisponibil, 25.0
13, Loc9, disponibil, 15.0
14, Loc1, disponibil, 65.0
14, Loc2, indisponibil, 75.0
14, Loc3, indisponibil, 65.0
14, Loc4, indisponibil, 45.0
14, Loc5, indisponibil, 55.0
14, Loc6, indisponibil, 45.0
14, Loc7, indisponibil, 35.0
14, Loc8, disponibil, 45.0
14, Loc9, disponibil, 35.0
15, Loc1, disponibil, 55.0
15, Loc2, disponibil, 65.0
15, Loc3, indisponibil, 55.0
15, Loc4, disponibil, 35.0
15, Loc5, disponibil, 45.0
15, Loc6, disponibil, 35.0
15, Loc7, indisponibil, 25.0
15, Loc8, disponibil, 35.0
15, Loc9, disponibil, 25.0
16, Loc1, disponibil, 40.0
16, Loc2, disponibil, 50.0
16, Loc3, indisponibil, 40.0
16, Loc4, disponibil, 20.0
16, Loc5, indisponibil, 30.0
16, Loc6, disponibil, 20.0
16, Loc7, indisponibil, 10.0
16, Loc8, disponibil, 20.0
16, Loc9, disponibil, 10.0
17, Loc1, disponibil, 60.0
17, Loc2, disponibil, 70.0
17, Loc3, disponibil, 60.0
17, Loc4, disponibil, 40.0
17, Loc5, disponibil, 50.0
17, Loc6, disponibil, 40.0
17, Loc7, disponibil, 30.0
17, Loc8, disponibil, 40.0
17, Loc9, disponibil, 30.0
18, Loc1, indisponibil, 50.0
18, Loc2, indisponibil, 60.0
18, Loc3, indisponibil, 50.0
18, Loc4, disponibil, 30.0
18, Loc5, indisponibil, 40.0
18, Loc6, disponibil, 30.0
18, Loc7, disponibil, 20.0
18, Loc8, indisponibil, 30.0
18, Loc9, disponibil, 20.0
19, Loc1, disponibil, 40.0
19, Loc2, disponibil, 50.0
19, Loc3, disponibil, 40.0
19, Loc4, disponibil, 20.0
19, Loc5, disponibil, 30.0
19, Loc6, disponibil, 20.0
